word2;word;description;language;sentiment ;;sentiment list 
friolero;friolero;Someone that is very sensitive to cold. That friend that always feel cold.; Spanish;neutral;;
qì zhì (氣质);qì;Quality of character, disposition, style, charm, attractiveness, magnetism.; Chinese;love ;;
şırış;şırış;Mucus or the sweet sugary residue from fruits or other treats; Nogay;food/drink;;
tretår;tretår;A second refill or “threefill” of coffee; Swedish;food/drink;;
onsay;onsay;Pretend to love; Boro;love ;;
ubuntu;ubuntu;"A quality that includes the essential human virtues; compassion and humanity."; Zulu;love ;;
ser/estar;ser/estar;The verb 'to be' is two different verbs in Spanish. Ser is 'what you are' and estar is 'how you are/where you are'; Spanish;neutral;;
yuputka;yuputka;A word made for walking in the woods at night, it’s the phantom sensation of something crawling on your skin; Ulwa;fear;;
kos;kos;"Cosiness, warmth, intimacy; kose as a verb; koselig as an adjective."; Norwegian;love ;;
fachidiot;fachidiot;Someone who knows a great deal about a very narrow subject; German;intelligence/stupidity ;;
pochemuchka;pochemuchka;A person who asks a lot of questions; Russian;intelligence/stupidity ;;
biritululo;biritululo;The act of comparing yams to settle a dispute; Kiriwani;neutral;;
pretoogjes;pretoogjes;"Lit. 'fun eyes'; the twinkling eyes of someone engaging in benign mischief or fun."; Dutch;joy ;;
lus;lus;"Desire, craving; greed; fancy, cupidity; inclination, tendency."; Afrikaans;love ;;
carpe diem;carpe;Make the most of the present moment or opportunity. Lit. sieze the day.; Latin;joy;;
ômä (өмә);ômä;Collective helping; Bashkir;love ;;
fika;fika;Drinking coffee along with eating something sweet; Swedish;food/drink;;
jibaku;jibaku;The act of unintentionally or inadvertently demolishing your own argument in the process of defending your view; Japanese;intelligence/stupidity ;;
warmduscher;warmduscher;"Literal: 'A person that takes warm showers'; to describe those who have trouble stepping out of their comfort zone"; German;fear;;
umami;umami;"A category of taste in food (besides sweet, sour, salt, and bitter); savoriness"; Japanese;food/drink;;
badkruka;badkruka;Someone who refuses to enter a body of water. Eg. Get in the lake you badkruka, or am I going to have to pull you in by your beard?; Swedish;fear;;
fahrvergnügen;fahrvergnügen;The love of simply driving; German;love ;;
boketto;boketto;The act of gazing vacantly into the distance.; Japanese;neutral;;
desenrascanço;desenrascanço;the ability to find improvised solutions to problems; Portuguese;intelligence/stupidity ;;
klexos;klexos;"the art of dwelling on the past; coined by John Koenig."; English;anticipation/nostalgia;;
házisárkány;házisárkány;"Literally ""indoor dragon""; a nagging restless spouse"; Hungarian;fear;;
shalom (שָׁלוֹם);shalom;"peace, harmony, wholeness, prosperity, welfare and tranquillity; used also as a greeting/parting salutation."; Hebrew;calm/spiritual ;;
sgriob;sgriob;The itchiness of the upper lip just before taking a sip of whisky; Irish;food/drink;;
mangomoment;mangomoment;"""What can I do now for you, to make you happy?"""; Dutch;joy;;
punya;punya;"“Merit,” “virtue”, “sacred"", ""good karma"", among other things"; Sanskrit;positive;;
angushti za'id;angushti;Someone with six fingers; Russian;neutral;;
on (恩);on;A feeling of moral indebtedness, relating to a favour or blessing given by others.; Japanese;neutral;;
queesting;queesting;Inviting a lover into your bed for some pillow talk; Dutch;love ;;
livsnjutare;livsnjutare;Someone who loves life deeply; Swedish;love ;;
moņ (моң);moņ;"Sadness; melody; lyricism"; Bashkir;sadness ;;
empalagoso;empalagoso;Too sweet. Adjective to say you ate something so sweet that you got sick of it.; Spanish;food/drink;;
débrouillardise;débrouillardise;"Quality of someone who is resourceful and lives with the ability to creatively improvise; someone who can make do and solve problems without much"; French;intelligence/stupidity;;
manja;manja;Childlike behaviour by women designed to elicit sympathy or pampering by men; Malay;love ;;
abhayamudrâ (अभय मुद्रा);abhayamudrâ;"The gesture (e.g., in Hindu and Buddhist iconography) of fearlessness, protection, and/or peace; involves the palms facing outwards, and the fingers extending upwards."; Sanskrit;calm/spiritual ;;
magari;magari;maybe, hopeful wish, wistful regret, in my dreams, if only.; Italian;positive;;
donaldkacsázás;donaldkacsázás;Translated as “Donald ducking” or wandering around one’s house with a shirt but no trousers; Hungarian;calm/spiritual;;
sumud (صمود);sumud;steadfastness, a determined struggle to persist.; Arabic;positive;;
putzfimmel;putzfimmel;Adjective for someone who is obsessed with cleaning; German;positive;;
consuegro;consuegro;Father in law of your son; Spanish;neutral;;
retrouvailles;retrouvailles;"Lit. 'rediscovery'; a reunion (e.g., with loved ones after a long time apart)."; French;love;;
jein;jein;Yes and no; German;neutral;;
ta'arof (تعارف);ta'arof;The complicated set of niceties and social rules to be observed as a form of good manners and proper etiquette; Persian;positive;;
otium;otium;"The condition of being in control of one’s own time; leisure, free-time; ease, peace."; Latin;calm/spiritual ;;
umij se;umij;Splash water on your face; Serbian;neutral;;
zechpreller;zechpreller;A person who leaves a restaurant without paying; German;food/drink;;
startijenn;startijenn;"A kickstart/boost of energy; also denotes perseverance."; Breton;joy ;;
uḷaṟu (உளறு);uḷaṟu;To say something that should not be or to say somethng nonsensical or unrelated; Tamil;intelligence/stupidity;;
pekopeko;pekopeko;Bowing one's head repeatedly in a grovelling manner; Japanese;negative ;;
ellipsism;ellipsism;A sadness that you'll never be able to know how history will turn out; English;sadness;;
tatemae & honne;tatemae;The contrast between a person's feelings and desires (honne) versus the behavior and opinions one displays in public (tatemae); Japanese;fear;;
feierabend;feierabend;End of the work day; German;neutral;;
cavoli riscaldati;cavoli;"Literally ""reheated cabbage""; When you attempt to start up a failed relationship or love affair"; Italian;love;;
nodus tollens;nodus;The realization that the plot of your life doesn't make sense to you anymore.; English;intelligence/stupidity ;;
kenshō (見性);kenshō;"Seeing (ken) one’s nature or essence (shō); perceiving one’s Buddha nature; sometimes interpreted as an initial or brief awakening."; Japanese;calm/spiritual  ;;
nintendo;nintendo;“Leave luck to heaven” or to leave one's fortune in the hands of fate; Japanese;calm/spiritual  ;;
spätzünder;spätzünder;A person who needs a long time to understands sth/ so who makes belated progress of personal development; German;intelligence/stupidity ;;
vemödalen;vemödalen;The fear that everything has already been done. For example: the frustration of photographing something amazing when thousands of identical photos already exist.; English;fear;;
kopfkino;kopfkino;"Imagining scenarios vividly (""head cinema"")"; German;neutral;;
hoʻoponopono;hoʻoponopono;Mutual forgiveness.; Hawaiian;love;;
verschlimmbesserung;verschlimmbesserung;An attempt at improvement that makes things worse than they already were; German;negative ;;
salām (سلام);salām;"Peace, harmony, wholeness, prosperity, welfare and tranquillity; used also as a greeting/parting salutation."; Arabic;calm/spiritual  ;;
saudade;saudade;melancholic longing, nostalgia, dreaming wistfulness.; Portuguese;anticipation/nostalgia ;;
dygn;dygn;"Day and night; 24 hours"; Swedish;neutral;;
mahj;mahj;Looking beautiful after having a disease; Tamil;love;;
adronitis;adronitis;Frustration with how long it takes to get to know someone; English;anger/frustration;;
overskud;overskud;"Extra/excess energy; do have sufficient resources to do something; profit (in an economic context)."; Danish;positive;;
tingo;tingo;The act of taking objects one desires from the house of a friend by gradually borrowing all of them; Pascuense;negative ;;
mitonner;mitonner;Cooking with passion; French;food/drink;;
haiku (俳句);haiku;A form of Japanese poetry, usually just 17 syllables long (with lines of 5, 7, and 5 syllables), involving the sudden juxtapositions of ideas or images, and often focused on natural (e.g., seasonal) phenomena.; Japanese;neutral;;
gezelligheid;gezelligheid;Coziness, fun, the general togetherness that gives people a warm feeling.; Dutch;joy ;;
schulbildend;schulbildend;Inspiring or leading to the creation of schools of thought.; German;intelligence/stupidity ;;
querencia;querencia;A place from which one's strength is drawn, where one feels at home, the place where you are your most authentic self; Spanish;joy ;;
chai-pani;chai-pani;"Literal: ""tea and water""; the money and favors given to someone to get things done"; Hindi;positive;;
rén (仁);rén;"Humanity, benevolence; the positive feeling enjoyed by a virtuous person through altruistic behaviour."; Chinese;joy ;;
noroke;noroke;To brag about or sing the praises of the person you love; Japanese;love;;
sitzfleisch;sitzfleisch;"Having ""Sitzfleisch"": being persistent enough to complete a tough or big task"; German;intelligence/stupidity ;;
lepos;lepos;Charm, grace, wit, elegance, allure.; Latin;positive;;
shemomechama (შემომეჭამა);shemomechama;To keep eating past the point of being full since the food tastes so good.; Georgian;food/drink;;
koev li halev (כואב לי הלב);koev;"Literally ""my head hurts"", but used to convey empathy for someone's suffering"; Yiddish;negative;;
innerer schweinehund;innerer;"Literal: 'Inner pig dog'; the lazy voice in your head. It symbolizes the part of you that doesn’t want to go jogging, that prefers staying at home with chocolate and pizza and is just generally lazy."; German;negative ;;
l'esprit de l'escalier;l'esprit;Thinking of the perfect reply after the conversation is over.; French;anger/frustration;;
serendipity;serendipity;The development of events by chance that result in a beneficial way; Tamil;positive;;
voetstoots;voetstoots;A sale where the thing is sold as is or with all its faults without any guarantees; Afrikaans;negative ;;
énouement;énouement;The bittersweetness of having arrived in the future, seeing how things turn out, but not being able to tell your past self.; French;anger/frustration;;
metanoia;metanoia;The journey of changing ones mind, heart, self, or way of life; English;calm/spiritual  ;;
anima;anima;"Soul; spirit; breath; mind"; Latin;calm/spiritual  ;;
vypendrivatsja (выпендриваться);vypendrivatsja;To behave in a way that makes one look more important or special than one is, to ride the high horse, to show off; Russian;negative;;
tachiyomi;tachiyomi;To stand in a bookstore and read a book without buying it; Japanese;neutral;;
mauri;mauri;The essence that animates something living, but not human; Māori;calm/spiritual  ;;
sisu;sisu;Extraordinary determination in the fact of adversity; Finnish;positive;;
abhisar (অভিসার);abhisar;"Lit. 'going towards'; a meeting (often secret) between lovers / partners."; Bengali;love;;
schnapsidee;schnapsidee;An idea you have when you're drunk and will probably not considered anymore once you're sober; German;joy ;;
kulturbärare;kulturbärare;"Lit. culture-bearer or culture-carrier; a phenomenon (e.g., person or idea) that upholds a culture and/or moves it forward."; Swedish;positive;;
orphic;orphic;"Mysterious and entertaining; beyond ordinary understanding"; English;intelligence/stupidity ;;
mu (無);mu;Not one, not zero, not yes, not no; Japanese;neutral;;
myötähäpeä;myötähäpeä;Secondhand embarrassment; Finnish;fear;;
formacja;formacja;A state of mind and its own culture of a generation; Polish;neutral;;
s’encoubler;s’encoubler;To describe a fall, but specifically one where you fell due to being tangled in something; French;negative ;;
luftmensch;luftmensch;"Literal: ""air person"". Refers to someone who is a bit of a dreamer"; Yiddish;calm/spiritual  ;;
krawattenmuffel;krawattenmuffel;Someone who'd rather not wear a tie; German;neutral;;
talkoot;talkoot;"a collectively pursued/undertaken task; voluntary community work."; Finnish;positive;;
pole;pole;"Sorry; can also express empathy and understanding."; Swahili;positive;;
zhì (智);zhì;Wisdom, perspicacity, knowledge.; Chinese;intelligence/stupidity;;
occhiolism;occhiolism;The awareness of the smallness of your perspective; English;intelligence/stupidity;;
nakhur;nakhur;A camel that won't give milk until her nostrils have been tickled; Tamil;neutral;;
konfliktfähigkeit;konfliktfähigkeit;the ability to manage interpersonal conflict constructivly, without becoming personally involved.; German;intelligence/stupidity ;;
mensch;mensch;A person of integrity and honour; Yiddish;positive;;
sturmfrei;sturmfrei;Having the house or flat to oneself; German;calm/spiritual ;;
spannungsbogen;spannungsbogen;A sequence of events which build up suspense and/or tension; German;neutral;;
celístia;celístia;Brighness from the stars; Catalan;nature/beauty;;
fingerspitzengefühl;fingerspitzengefühl;"Literal: “finger tips feeling"", but means an intuitive feel or to have one's finger on the pulse"; German;intelligence/stupidity ;;
dépayser;dépayser;"Disorientation; not necessarily unpleasant (e.g., a pleasant sense of strangeness from being in a foreign country)."; French;calm/spiritual ;;
merak;merak;A feeling of bliss and the sense of oneness with the universe that comes from the simplest of pleasures. It is the pursuit of small, daily pleasures that all add up to a great sense of happiness and fulfillment.; Serbian;joy ;;
apapachar;apapachar;Pamper a person especially when she or he is sad; Spanish;sadness;;
vellichor;vellichor;The strange wistfulness of used bookshops; English;calm/spiritual ;;
hanyauku;hanyauku;To walk on tiptoes across a hot surface; Rukwangali;neutral;;
anánkē (ανάγκη);anánkē;destiny, fate, necessity.; Greek;calm/spiritual  ;;
kyoiku mama;kyoiku;A mother who relentlessly pushes her children toward academic achievement; Japanese;intelligence/stupidity;;
mokita;mokita;The truth we all know but agree not to talk about.; Kilivila;neutral;;
rabenmutter;rabenmutter;"A bad mom (""raven mother"")"; German;negative ;;
tüddelig;tüddelig;Sweet, elderly, and senile; German;positive;;
ramé;ramé;Something that is both chaotic and joyful at the same time; Indonesian;joy ;;
friluftsliv;friluftsliv;“Free air life,” signifying a fundamental understanding of the positive impact of being in nature; Norwegian;joy ;;
kintsukuroi;kintsukuroi;To repair with gold. Understanding that a piece is more beautiful for having broken.; Japanese;nature/beauty;;
verklempt;verklempt;Completely overcome with emotion; Yiddish;love;;
dhurna;dhurna;Extorting payment from someone by sitting at their front door and staying there until you get paid; Hindi;negative ;;
lítost;lítost;Sate of agony and torment created by the sudden sight of one’s own misery.; Czech;sadness;;
víðsýni;víðsýni;"A panoramic view; open-mindedness."; Icelandic;nature/beauty;;
desir;desir;The sound of sand driven by the wind; Malay;nature/beauty;;
qì (氣);qì;"Lit. air, breath; ‘life force/energy’."; Chinese;calm/spiritual ;;
gulugulu;gulugulu;The sound of a pitcher filling with water; Tulu;food/drink;;
abditory;abditory;"A place into which you can disappear; a hiding place"; English;calm/spiritual  ;;
weiche;weiche;"Literal: ""soft egg""; someone who is weak or cowardly"; German;fear;;
iktsuarpok;iktsuarpok;The feeling of anticipation that leads you to keep looking outside to see if anyone is coming.; Inuktitut;anticipation/nostalgia ;;
pålegg;pålegg;Anything that you can put in a sandwich; Norwegian;food/drink;;
prozvonit;prozvonit;To call a mobile phone and let it ring once so that the other person will call back, saving the first caller money.; Czech;neutral;;
être dépaysé;être;To be in an environment you're not used to; French;fear;;
flâner;flâner;verb. to purposely wander, to decide to explore with no final destination.; French;calm/spiritual;;
sayang;sayang;Describes when you've wasted an opportunity; Tagalog;intelligence/stupidity;;
panapoo'o;panapoo'o;The act of searching your head in order to help you remember something you have forgotten.; Hawaiian;intelligence/stupidity;;
palla;palla;To steal fruit off trees; Swedish;negative;;
yaqin (يقين);yaqin;Certitude and freedom from doubt.; Arabic;intelligence/stupidity;;
chimak;chimak;Chicken and beer; Korean;food/drink;;
umay;umay;Gettiing tired of a certain food; Tagalog;food/drink;;
buksvåger;buksvåger;"Literally means ""abdomen brothers-in-law""; used for two men who have slept with the same woman"; Swedish;love;;
ikigai;ikigai;"A reason for being; the thing that gets you up in the morning."; Japanese;calm/spiritual;;
viraag;viraag;The emotional pain felt from being away from the person you love; Hindi;love;;
mencomot;mencomot;Stealing things of small value, mostly for fun rather than out of necessity.; Indonesian;joy;;
cāral (சாரல்);cāral;A gentle secondary drizzle either from a waterfall or rain; Tamil;nature/beauty;;
nja;nja;"Combining no (nej) and yes (ja); neither yes or no (or both yes and no); expressing uncertainty."; Swedish;neutral;;
arlésienne;arlésienne;Used to describe people who are at the centre of a conversation/situation/problem but can’t be found anywhere; French;neutral ;;
avspasere;avspasere;To take a day (or more) off from work (e.g., because one has previously worked overtime and has built up credit).; Norwegian;neutral;;
luscofusco;luscofusco;Time of nightfall, just with the last ray of Sun; Galician;nature/beauty;;
baadastoor;baadastoor;Unaltered, or unchanged, for something that is habitual; Urdu;neutral;;
dreikäsehoch;dreikäsehoch;A small child who is as tall as three wheels of cheese stacked upon one another; German;neutral;;
vipāka (विपाक);vipāka;"Ripening; the result, ripening or maturation of karma."; Sanskrit;neutral;;
fargin;fargin;To wholeheartedly appreciate the success of others; Yiddish;joy ;;
schlimazel;schlimazel;A chronically unlucky person; Yiddish;sadness;;
abbiocco;abbiocco;The feeling of falling asleep after lunch or dinner; Italian;food/drink;;
chingada;chingada;An imaginary, horrible place where you send all those who annoy you; Spanish;anger/frustration;;
xiao xiao;xiao;The whistling and pattering of rain or wind; Chinese;nature/beauty;;
tîeow (เที่ยว);tîeow;To wander or roam around in a carefree way.; Thai;calm/spiritual;;
maktub;maktub;"""Everything is destined and written"""; Arabic;calm/spiritual;;
zanshin (残心);zanshin;"Lit. ‘remaining/enduring heart-mind’; a state of relaxed mental alertness (especially in the face of danger or stress)."; Japanese;calm/spiritual ;;
offing;offing;"The deep, distant stretch of the ocean that is still visible from the land; the foreseeable future"; English;nature/beauty;;
talaka;talaka;Every member of a neighborhood getting together to do a work for free for a poor member of their community; Nogay;positive;;
autophile;autophile;A person that loves solitude, being alone; English;love;;
trepverter;trepverter;A witty comeback you think of only when it’s too late to use; Yiddish;anger/frustration;;
ukiyo;ukiyo;The floating world - living in the moment, detached from the bothers of life; Japanese;calm/spiritual ;;
ǩuẓlanyu;ǩuẓlanyu;To marry a divorced woman; Bashkir;neutral;;
ḥôjônsô (һөйөнсө);ḥôjônsô;Good news for which a reward is given; Bashkir;joy ;;
anchorage;anchorage;The desire to make time stand still; English;calm/spiritual ;;
obhimaan (অভিমান );obhimaan;Anger, or something close to it, at being upset with a loved one. Abhiman is not anger or sorrow. It is a temporary expression of a feeling about a loved one that he or she is supposed to address.; Bengali;anger/frustration;;
voorpret;voorpret;That feeling of excitement you get even before an event actually takes place. Literally translates to “pre-fun.”; Dutch;anticipation/nostalgia;;
uitwaaien;uitwaaien;To take a refreshing break outdoors in windy weather; Dutch;nature/beauty;;
mono no aware;mono;The bittersweetness of a brief and grading moment of transcendent beauty.; Japanese;nature/beauty;;
fuubutsushi;fuubutsushi;The things – feelings, scents, images – that evoke memories or anticipation for a particular season.; Japanese;anticipation/nostalgia;;
fanaa (فناء);fanaa;Used in a romantic, and spiritual sense. It could also mean breaking free, escaping ego, dying while your material body hasn’t; Urdu;love;;
ayurnamat;ayurnamat;The philosophy that there is no point in worrying about events that cannot be changed; Inuktitut;calm/spiritual ;;
ennui;ennui;A feeling of being bored and mentally tired caused by having nothing interesting or exciting to do; English;negative;;
madrugada;madrugada;The time of day occurring between past midnight and early morning; Spanish;neutral ;;
mágoa;mágoa;A heart-breaking feeling that leaves long-lasting traces, visible in gestures and facial expressions; Portuguese;love;;
yoroshiku onegai shimasu;yoroshiku;Favorably, please.; Japanese;joy ;;
nostalgie de la boue;nostalgie;"A yearning for degradation, depravity, or other crude/base aspects of life, literally ""a yearning for mud"""; French;negative;;
psithurism;psithurism;The sound of wind through trees; English;nature/beauty;;
trasnochar;trasnochar;To stay up all night; Spanish;neutral;;
tulak ng bibig, kabig ng dibdib.;tulak;"Pretending to dislike something, when it reality you actually like it. Literal translation, ""push of the mouth, pull (drawing closer to self) of the chest""."; Tagalog;negative;;
riposo;riposo;"Rest, repose; a nap; cf. siesta."; Italian;calm/spiritual ;;
kabelsalat;kabelsalat;"Tangled up cables; literally “cable-salad"""; German;negative;;
þetta reddast;þetta;it will all work out ok' (used especially when things don't look optimistic!).; Icelandic;calm/spiritual ;;
petrichor;petrichor;The smell of earth after rain; English;nature/beauty;;
fisselig;fisselig;Being flustered to the point of incompetence; German;fear ;;
hoppilandkalle;hoppilandkalle;Guy who jumps to dry land to moor a boat; Swedish;neutral;;
nekama;nekama;A man who pretends to be a woman on the internet; Japanese;negative;;
manna;manna;A sudden or unexpected help, advantage, or aid to success; English;positive;;
mudita;mudita;The pleasure that comes from delighting in other people's well-being or happiness; Sanskrit;joy ;;
mana;mana;The prestige, power, dominance of something or someone; Māori;intelligence/stupidity;;
tima;tima;Not being ready to spend time or money on a specific thing, despite being able to afford it; Icelandic;neutral;;
dapjeongneo;dapjeongneo;Used when someone asks a question despite knowing the answer, expecting the listener to make a smart and studied guess; Korean;intelligence/stupidity;;
eesome;eesome;Pleasing to the eye; English;love;;
utura-utura (うつらうつら);utura-utura;To drift between sleep and wakefulness.; Japanese;calm/spiritual;;
hinna;hinna;"""To find the time” or “to be on time”"; Swedish;neutral;;
altschmerz;altschmerz;Weariness with the same old issues that you've always had - the same boring flaws and anxieties that you've been gnawing for years.; German;negative;;
recherché;recherché;"Rare, exotic, unusual; not understood or appreciated by many people."; French;neutral;;
moledro;moledro;A feeling of resonant connection with an author or artist you'll never meet, who may have lived centuries ago and thousands of miles away; English;love;;
nehrotit to;nehrotit;"Literal: “Not to make X into a sharp point""; a choice not to stress about something"; Czech;calm/spiritual;;
cúbóg;cúbóg;A collection of Easter eggs; Irish;food/drink;;
papakata;papakata;To have one leg shorter than the other; Māori;neutral;;
qiang jingtou;qiang;The fight by a cameraman to get a better vantage point; Chinese;negative;;
qarrtsiluni;qarrtsiluni;Sitting together in the darkness, waiting for inspiration to strike you; Iñupiaq;neutral;;
trennungsagentur;trennungsagentur;"Literal: ""separation agent""; A man hired by women to break the news to their boyfriends that they are breaking up"; German;love;;
kilig;kilig;"It is the sudden feeling of an inexplicable joy one gets when something romantic or idealistic occurs; butterflies."; Tagalog;joy;;
sophrosyne;sophrosyne;A healthy state of mind, characterized by self-control, moderation, and a deep awareness of one's true self, and resulting in one's true happiness.; Greek;calm/spiritual;;
wabi-sabi;wabi-sabi;Finding beauty within the imperfections of life and peacefully accepting the natural cycle of growth and decay.; Japanese;calm/spiritual;;
pisan zapra;pisan;The time needed to eat a banana; Malay;food/drink;;
(يقبرني) ya'aburnee;(يقبرني);A way to declare your hope that your loved one will outlive you because of how unbearable it would be to live without them.; Arabic;love;;
halyava (халява);halyava;Getting something without working for it; Russian;intelligence/stupidity;;
nito-onna;nito-onna;A woman so dedicated to her career that she has no time to iron blouses, so dresses only in knitted tops.; Japanese;neutral;;
